pub_date,relevance,sentiments,scores,Doc_Volume,high,low,open,close,volume
2021-08-17,1.4899879956117736,-0.989252507686615,-1.4739743610819003,1,156.9100,154.8400,156.7200,155.5100,1158743
2021-08-18,0.49355521021504317,-0.9960861206054688,-0.491623494647719,1,155.7900,154.3200,154.6100,154.4700,753808
2021-08-19,1.2777481453331836,-0.9809554219245911,-1.253413971018677,1,154.0900,151.9000,153.5800,153.0700,756843
2021-08-24,0.8573087874612845,-0.03836438059806824,0.2847643758102852,1,158.9500,156.2300,157.8700,156.9000,947604
2021-08-26,1.3794398201798526,-0.9928231040636698,-1.3691673330977885,3,159.8700,157.0200,158.4200,158.8000,1842981
2021-08-27,1.0650268740916886,-0.6023579061031341,-0.363726836904811,5,150.0000,143.1200,149.2100,148.1800,5420564
2021-09-02,0.8613379606518383,-0.9248420000076294,-0.7720517617709911,1,147.3100,145.6200,147.1800,146.1700,1206731
2021-09-07,0.728217017444708,-0.9935649037361145,-0.7235308708364517,1,146.8350,144.9600,146.5200,145.6300,1413137
2021-09-23,0.9498275870908295,-0.9912759065628052,-0.9415412024718238,1,145.0950,139.3036,140.0800,142.1600,1898287
2021-09-24,1.213626153997939,-0.9833969175815582,-1.1834359968815367,1,146.2600,142.3903,142.5100,145.5600,1227888
2021-09-28,0.684074757463069,0.9825670123100281,0.6721492906371948,1,149.9900,147.1907,147.9100,149.4000,1369448
2021-10-04,0.6266944265194951,-0.9852348566055298,-0.6174411934474195,1,152.6500,147.4400,151.1500,148.5200,1079554
2021-10-05,3.0310724489676044,0.9707421660423279,2.942389834542036,1,151.5739,148.2100,149.0700,150.1200,1025133
2021-10-06,0.49355521021504317,0.5233240127563477,0.2582892931265391,1,151.7400,147.1200,148.1000,151.4000,1012793
2021-10-21,0.7131971626818465,-0.05519327521324158,0.13621456095000117,1,164.7700,161.4500,163.4800,164.7000,1828355
2021-11-02,0.49355521021504317,-0.9980877041816711,-0.4926113866504345,1,136.0600,125.4000,125.5900,134.8700,10845009
2021-11-12,0.9653194490829875,-0.5835577249526978,-0.6148503897196873,1,126.9700,124.2700,124.7000,125.5400,2777394
2021-11-16,1.2777481453331836,-0.9947798252105713,-1.271078076677676,1,126.2900,124.8900,126.0400,124.9400,1954701
2021-11-17,0.716752164313625,-0.9906011819839478,-0.7085696088175779,1,126.2800,122.6500,125.1200,123.3000,2019788
2021-11-19,0.5127686916523171,-0.23769792914390564,-0.13201129845701506,1,121.4700,119.5100,120.4900,120.5500,2721364
2021-11-23,1.0480474760898373,-0.9950706213712692,-1.0428113022496288,2,117.9000,114.0100,117.5000,116.4800,4783822
2021-11-24,1.0649368052443973,-0.3868115067481995,-0.3862024331118195,5,122.1900,117.0500,119.7100,118.7000,3951984
2021-11-30,1.2062769912337843,-0.9516094624996185,-1.1563690454088622,1,120.9300,115.2300,120.5800,116.7400,4972817
2021-12-02,0.7462239755320237,-0.3313135902086894,-0.06169046627394389,1,118.3200,113.8700,113.8700,117.3400,2790439
2021-12-03,0.8300123687933603,-0.3884226481119792,-0.3555435603696153,1,119.4700,116.5500,118.0800,118.8600,3832136
2021-12-06,0.7753971626309095,-0.3297093907992045,-0.4443415204626249,3,117.7300,112.4800,115.8500,115.5800,3161155
